SrNo,Name,Links,Subjects
70,IELTS 2,https://www.youtube.com/watch?v=adSEZj4G-DE&list=PL4BuO6UgthvjHfMtbqNQaLkS4dLkbpbZN&index=10,English
71,Comma & And,https://www.youtube.com/watch?v=vfQC8ZBnq-Q&list=PL4BuO6UgthvjHfMtbqNQaLkS4dLkbpbZN&index=14,English
72,IELTS 3,https://www.youtube.com/watch?v=wOXDKsDAz20&list=PL4BuO6UgthvjCosQPBTUNIupPfaVbL2-f&index=8,English
73,Consonants,https://www.youtube.com/watch?v=Mp6-YRrVTwU&list=PL4BuO6UgthvjCosQPBTUNIupPfaVbL2-f&index=32,English
73,Vowels,https://www.youtube.com/watch?v=_YiPikFe4cQ&list=PL4BuO6UgthvjCosQPBTUNIupPfaVbL2-f&index=31,English
74,Job interview questions,https://www.youtube.com/watch?v=mCi5yzwMhuA&list=PL4BuO6UgthvjCosQPBTUNIupPfaVbL2-f&index=39,English
75,Business Phrases,https://www.youtube.com/watch?v=il9NYhBpCoA&list=PL4BuO6UgthvjCosQPBTUNIupPfaVbL2-f&index=60,English
76,Chemical Bonding,https://www.youtube.com/watch?v=1DWZFkipYtE,Science
77,States Of Matter,https://www.youtube.com/watch?v=QWduKfQjZYE,Science
78,Thermodynamics,https://www.youtube.com/watch?v=aL2geklWQdU,Science
79,Force,https://www.youtube.com/watch?v=LSa17eedH9A&list=PLG2_S6yzON5dL7LcGSA6KJCdyB8I-BRRN,Science
80,Newtons Laws,https://www.youtube.com/watch?v=BCnWQrXoHeo&list=PLG2_S6yzON5dL7LcGSA6KJCdyB8I-BRRN&index=2,Science
81,Velocity,https://www.youtube.com/watch?v=apewLkLAR-U,Science
82,Scalar & Vector,https://www.youtube.com/watch?v=Pj8Zh0A-uLU&list=PLmdFyQYShrjcoTLhPodQGjtZKPKIWc3Vp&index=3,Science
83,Acids Bases & Salts,https://www.youtube.com/watch?v=jn9f7PYtFgE,Science
84,Life Process,https://www.youtube.com/watch?v=vCkuD3gXhow,Science
85,Electricity,https://www.youtube.com/watch?v=-RCRoGjAfOM,Science
86,Ohms Law,https://www.youtube.com/watch?v=wvHcm84RsFw,Science
87,Lens,https://www.youtube.com/watch?v=CJ6aB5ULqa0,Science
88,Heights & Distances,https://www.youtube.com/watch?v=QmDhai2fKzk,Science
89,Hydrocarbons,https://www.youtube.com/watch?v=o3Db15Gw_mU,Science
90,Nomenclature,https://www.youtube.com/watch?v=VjzhirlJmGk,Science
91,Functional Groups,https://www.youtube.com/watch?v=9lpPEOA1gIM,Science
92,Allotropes Of Carbon,https://www.youtube.com/watch?v=K4FcQ8tPpKQ,Science
93,Dispersion,https://www.youtube.com/watch?v=ASEdGwpyn58,Science
94,Kinematics,https://www.youtube.com/watch?v=robEY-idcLU,Science
95,Atomic Theory,https://www.youtube.com/watch?v=9B3DDY27ZtE&list=PLybg94GvOJ9EbbO2RXPWTUNIIE0C7hSfm&index=5,Science
96,Bohr Model,https://www.youtube.com/watch?v=au2HCVn9IJI&list=PLybg94GvOJ9EbbO2RXPWTUNIIE0C7hSfm&index=13,Science
97,Quantum mechanics,https://www.youtube.com/watch?v=Usu9xZfabPM,Science
98,Nuclear Physics,https://www.youtube.com/watch?v=lUhJL7o6_cA,Science
99,Nanotechnology,https://www.youtube.com/watch?v=DAOFpgocfrg,Science
100,DNA,https://www.youtube.com/watch?v=gG7uCskUOrA,Science
